unbekannt,2021/09/03 00:00:00,6
A60-A79,2021/01/17 00:00:00,1076
A15-A34,2022/02/11 00:00:00,62802
A80+,2021/06/08 00:00:00,64
A05-A14,2020/04/01 00:00:00,135
A15-A34,2020/02/04 00:00:00,1
A15-A34,2021/10/29 00:00:00,6482
A35-A59,2021/07/17 00:00:00,335
A60-A79,2020/10/13 00:00:00,668
A00-A04,2021/03/21 00:00:00,293
A15-A34,2022/06/11 00:00:00,6920
A00-A04,2022/02/13 00:00:00,3163
A05-A14,2021/07/21 00:00:00,206
unbekannt,2022/04/23 00:00:00,23
A00-A04,2022/06/13 00:00:00,1259
unbekannt,2021/05/03 00:00:00,5
A80+,2022/05/28 00:00:00,347
A35-A59,2022/06/09 00:00:00,29474
A15-A34,2020/06/04 00:00:00,188
A80+,2021/08/31 00:00:00,253
A00-A04,2020/06/06 00:00:00,14
A05-A14,2020/08/01 00:00:00,57
A05-A14,2020/09/18 00:00:00,152
unbekannt,2021/10/08 00:00:00,1
A35-A59,2021/09/12 00:00:00,1004
A35-A59,2021/03/17 00:00:00,7206
A15-A34,2021/09/24 00:00:00,2745
unbekannt,2021/03/08 00:00:00,1
A80+,2021/10/24 00:00:00,188
A15-A34,2021/04/08 00:00:00,7991
A60-A79,2021/12/17 00:00:00,4251
A60-A79,2020/06/25 00:00:00,54
A35-A59,2022/02/09 00:00:00,88693
A15-A34,2020/08/09 00:00:00,137
A15-A34,2022/03/28 00:00:00,60746
A80+,2020/10/16 00:00:00,337
A15-A34,2021/07/29 00:00:00,1305
unbekannt,2022/02/28 00:00:00,266
A15-A34,2020/10/20 00:00:00,3257
A35-A59,2021/01/12 00:00:00,8699
A15-A34,2020/04/09 00:00:00,1178
A00-A04,2021/07/21 00:00:00,51
A00-A04,2021/05/26 00:00:00,292
A80+,2022/01/28 00:00:00,2749
A15-A34,2021/01/24 00:00:00,1239
A15-A34,2021/05/24 00:00:00,588
A60-A79,2022/02/04 00:00:00,14406
A00-A04,2022/04/18 00:00:00,825
A35-A59,2021/05/12 00:00:00,6187
unbekannt,2020/07/28 00:00:00,2
A00-A04,2020/11/01 00:00:00,250
unbekannt,2020/03/28 00:00:00,1
A05-A14,2020/03/13 00:00:00,37
A00-A04,2021/01/26 00:00:00,257
A05-A14,2021/12/26 00:00:00,1623
A15-A34,2021/12/24 00:00:00,6797
A80+,2022/06/16 00:00:00,1081
A35-A59,2021/11/05 00:00:00,11900
A80+,2020/08/04 00:00:00,19
A35-A59,2021/06/29 00:00:00,294
unbekannt,2021/01/03 00:00:00,3
unbekannt,2020/09/23 00:00:00,2
A05-A14,2020/05/18 00:00:00,32
A80+,2021/04/03 00:00:00,311
unbekannt,2022/01/30 00:00:00,54
unbekannt,2021/06/10 00:00:00,1
A15-A34,2021/06/03 00:00:00,968
A60-A79,2021/06/05 00:00:00,216
A80+,2021/08/03 00:00:00,48
A80+,2020/04/04 00:00:00,422
unbekannt,2022/01/02 00:00:00,12
unbekannt,2021/01/31 00:00:00,1
A80+,2020/12/20 00:00:00,1475
A15-A34,2021/03/29 00:00:00,3191
A60-A79,2022/01/25 00:00:00,11382
A05-A14,2021/10/21 00:00:00,3006
unbekannt,2022/05/30 00:00:00,20
A00-A04,2020/09/18 00:00:00,51
A35-A59,2020/05/13 00:00:00,350
A05-A14,2022/02/13 00:00:00,13718
A00-A04,2021/06/05 00:00:00,116
A15-A34,2021/06/12 00:00:00,441
A60-A79,2022/04/09 00:00:00,10182
A80+,2022/02/07 00:00:00,3200
A60-A79,2022/01/16 00:00:00,2127
A05-A14,2020/07/13 00:00:00,21
A05-A14,2022/06/13 00:00:00,5442
A35-A59,2020/03/09 00:00:00,192
A35-A59,2020/11/25 00:00:00,8478
A35-A59,2020/09/13 00:00:00,241
A05-A14,2022/03/20 00:00:00,11753
A80+,2021/07/24 00:00:00,8
A60-A79,2021/02/05 00:00:00,1625
A15-A34,2021/02/03 00:00:00,3451
unbekannt,2022/01/11 00:00:00,61
A15-A34,2020/12/25 00:00:00,3308
A15-A34,2021/02/12 00:00:00,2342
A80+,2021/12/29 00:00:00,995
A00-A04,2020/05/27 00:00:00,14
A60-A79,2020/09/09 00:00:00,144
unbekannt,2020/11/16 00:00:00,21
A00-A04,2020/05/18 00:00:00,23
A35-A59,2022/01/20 00:00:00,47117
A05-A14,2020/03/22 00:00:00,36
A60-A79,2022/06/04 00:00:00,1970
A60-A79,2021/02/24 00:00:00,1747
A35-A59,2021/12/21 00:00:00,17840
A80+,2022/03/23 00:00:00,9846
unbekannt,2021/11/24 00:00:00,40
A00-A04,2022/01/25 00:00:00,9119
unbekannt,2021/12/31 00:00:00,16
A80+,2021/02/08 00:00:00,414
A05-A14,2020/10/22 00:00:00,800
A60-A79,2020/05/18 00:00:00,58
A80+,2020/03/16 00:00:00,34
A00-A04,2022/01/06 00:00:00,1455
A60-A79,2022/05/25 00:00:00,5083
A05-A14,2021/03/21 00:00:00,609
A15-A34,2020/11/09 00:00:00,5438
A35-A59,2021/09/21 00:00:00,3664
A00-A04,2021/11/19 00:00:00,1672
A00-A04,2022/05/25 00:00:00,585
unbekannt,2022/05/11 00:00:00,40
unbekannt,2022/05/02 00:00:00,48
A35-A59,2020/07/09 00:00:00,159
A60-A79,2021/09/17 00:00:00,597
unbekannt,2022/02/19 00:00:00,93
A80+,2020/07/16 00:00:00,15
A60-A79,2021/11/29 00:00:00,5151
unbekannt,2022/03/07 00:00:00,168
A00-A04,2021/02/14 00:00:00,110
A60-A79,2022/05/16 00:00:00,9314
unbekannt,2020/12/04 00:00:00,17
A60-A79,2020/09/18 00:00:00,208
A05-A14,2022/04/18 00:00:00,3423
A60-A79,2020/05/09 00:00:00,106
A35-A59,2021/12/12 00:00:00,5614
A05-A14,2022/04/09 00:00:00,8570
unbekannt,2022/06/19 00:00:00,7
A60-A79,2020/12/09 00:00:00,3892
unbekannt,2020/09/04 00:00:00,4
A60-A79,2021/05/17 00:00:00,623
A15-A34,2020/07/20 00:00:00,188
A35-A59,2022/05/20 00:00:00,16217
A15-A34,2022/02/02 00:00:00,71067
A35-A59,2022/02/28 00:00:00,48530
A35-A59,2020/06/20 00:00:00,233
unbekannt,2021/12/03 00:00:00,33
A15-A34,2020/03/11 00:00:00,192
A05-A14,2021/12/17 00:00:00,8375
A05-A14,2022/03/01 00:00:00,28709
A35-A59,2020/12/13 00:00:00,4489
A05-A14,2022/07/01 00:00:00,2557
A60-A79,2020/11/01 00:00:00,1350
A15-A34,2020/03/20 00:00:00,1108
A05-A14,2021/10/02 00:00:00,1210
A00-A04,2021/07/02 00:00:00,28
A00-A04,2022/05/06 00:00:00,1613
A15-A34,2022/06/02 00:00:00,15034
A05-A14,2020/11/01 00:00:00,683
A60-A79,2021/05/26 00:00:00,734
A15-A34,2020/07/11 00:00:00,104
A35-A59,2020/06/01 00:00:00,26
A80+,2021/03/15 00:00:00,262
A00-A04,2021/03/02 00:00:00,371
A80+,2022/07/04 00:00:00,332
A35-A59,2021/05/21 00:00:00,2542
A15-A34,2020/08/28 00:00:00,686
A60-A79,2020/11/20 00:00:00,2960
A00-A04,2021/09/17 00:00:00,452
A80+,2021/03/24 00:00:00,635
A60-A79,2021/01/26 00:00:00,2509
A80+,2020/03/07 00:00:00,2
A80+,2021/12/10 00:00:00,1495
A15-A34,2021/09/15 00:00:00,4106
A35-A59,2022/06/28 00:00:00,25709
A00-A04,2020/12/27 00:00:00,142
A05-A14,2020/07/22 00:00:00,64
A60-A79,2022/04/18 00:00:00,4707
A80+,2020/07/07 00:00:00,12
A35-A59,2021/01/21 00:00:00,6130
A80+,2021/07/15 00:00:00,13
unbekannt,2022/04/14 00:00:00,93
A35-A59,2020/12/22 00:00:00,11375
A00-A04,2020/09/27 00:00:00,27
A00-A04,2020/12/18 00:00:00,535
A35-A59,2020/08/06 00:00:00,426
A05-A14,2021/07/30 00:00:00,283
A05-A14,2022/06/04 00:00:00,866
A00-A04,2021/02/05 00:00:00,247
A05-A14,2022/06/22 00:00:00,3575
A80+,2022/03/04 00:00:00,5586
A60-A79,2021/09/26 00:00:00,192
A80+,2022/06/07 00:00:00,2063
A15-A34,2020/11/18 00:00:00,7239
A00-A04,2020/06/15 00:00:00,12
A80+,2020/11/23 00:00:00,1140
A60-A79,2022/02/13 00:00:00,5919
A00-A04,2021/05/17 00:00:00,191
A35-A59,2020/04/06 00:00:00,1363
unbekannt,2022/04/04 00:00:00,584
A80+,2020/01/02 00:00:00,1
A05-A14,2021/09/17 00:00:00,1914
A60-A79,2020/08/01 00:00:00,37
A60-A79,2022/02/23 00:00:00,19317
A15-A34,2021/05/15 00:00:00,2569
A80+,2022/05/19 00:00:00,1493
A60-A79,2021/12/26 00:00:00,913
A00-A04,2021/10/30 00:00:00,442
A35-A59,2022/01/11 00:00:00,28885
A80+,2022/02/16 00:00:00,6112
A15-A34,2021/01/05 00:00:00,7389
A35-A59,2020/04/16 00:00:00,1341
A80+,2022/05/09 00:00:00,2609
A80+,2020/05/02 00:00:00,57
A05-A14,2020/10/13 00:00:00,342
A35-A59,2020/11/06 00:00:00,8269
A05-A14,2022/02/22 00:00:00,38393
A35-A59,2021/01/03 00:00:00,3144
unbekannt,2021/12/12 00:00:00,8
A00-A04,2021/07/12 00:00:00,18
A35-A59,2021/11/24 00:00:00,27915
A60-A79,2020/03/04 00:00:00,14
unbekannt,2021/02/10 00:00:00,2
A15-A34,2021/12/05 00:00:00,5899
A15-A34,2020/04/28 00:00:00,405
A05-A14,2021/02/14 00:00:00,259
A05-A14,2021/12/07 00:00:00,13781
A15-A34,2022/07/09 00:00:00,20
A60-A79,2020/10/22 00:00:00,1737
A60-A79,2020/04/01 00:00:00,1229
A00-A04,2021/10/02 00:00:00,234
A35-A59,2022/02/18 00:00:00,65577
A15-A34,2021/09/05 00:00:00,1537
A35-A59,2021/09/03 00:00:00,3604
A00-A04,2021/03/12 00:00:00,536
unbekannt,2021/03/27 00:00:00,8
A05-A14,2021/10/30 00:00:00,2861
A80+,2020/04/23 00:00:00,302
A35-A59,2021/05/03 00:00:00,3463
A15-A34,2022/03/09 00:00:00,85701
A00-A04,2021/01/17 00:00:00,127
A00-A04,2020/03/22 00:00:00,16
A35-A59,2022/05/11 00:00:00,31243
A05-A14,2021/01/17 00:00:00,324
A15-A34,2020/09/25 00:00:00,918
A00-A04,2021/06/14 00:00:00,44
A05-A14,2020/05/09 00:00:00,21
A15-A34,2022/01/23 00:00:00,19790
A80+,2020/12/02 00:00:00,1727
unbekannt,2021/04/06 00:00:00,4
A35-A59,2022/03/25 00:00:00,91039
A35-A59,2021/01/31 00:00:00,1516
unbekannt,2021/08/06 00:00:00,2
unbekannt,2020/12/23 00:00:00,19
A60-A79,2022/04/28 00:00:00,13190
A15-A34,2021/10/10 00:00:00,836
A00-A04,2022/07/10 00:00:00,4
A05-A14,2021/05/17 00:00:00,632
A35-A59,2021/05/31 00:00:00,839
A60-A79,2022/06/13 00:00:00,12323
A05-A14,2020/09/09 00:00:00,146
A35-A59,2020/03/27 00:00:00,2580
A35-A59,2020/07/27 00:00:00,193
A80+,2020/04/13 00:00:00,261
A15-A34,2021/12/15 00:00:00,13411
A60-A79,2022/06/23 00:00:00,6136
unbekannt,2021/08/24 00:00:00,6
unbekannt,2022/06/28 00:00:00,23
A80+,2022/01/09 00:00:00,291
A05-A14,2021/06/14 00:00:00,166
unbekannt,2020/10/19 00:00:00,9
A80+,2021/01/29 00:00:00,1366
A35-A59,2022/06/18 00:00:00,9957
A15-A34,2021/05/05 00:00:00,6277
A60-A79,2020/07/04 00:00:00,31
A05-A14,2020/12/09 00:00:00,1763
A35-A59,2021/08/14 00:00:00,1369
A15-A34,2020/05/07 00:00:00,348
A60-A79,2021/10/12 00:00:00,1187
A00-A04,2020/07/22 00:00:00,25
A35-A59,2020/10/27 00:00:00,6254
A80+,2020/08/13 00:00:00,21
A15-A34,2020/05/25 00:00:00,120
A15-A34,2020/12/07 00:00:00,4373
A00-A04,2022/03/10 00:00:00,8453
A05-A14,2021/06/24 00:00:00,143
A00-A04,2020/09/09 00:00:00,33
A80+,2021/09/29 00:00:00,326
A80+,2020/05/30 00:00:00,19
A05-A14,2020/09/27 00:00:00,71
A80+,2020/09/30 00:00:00,77
A35-A59,2021/10/17 00:00:00,1153
A80+,2020/06/28 00:00:00,7
A80+,2020/09/20 00:00:00,17
A15-A34,2020/09/07 00:00:00,640
A00-A04,2020/02/15 00:00:00,1
A05-A14,2020/06/06 00:00:00,23
A80+,2020/08/23 00:00:00,5
unbekannt,2021/04/24 00:00:00,27
A80+,2020/09/02 00:00:00,21
A00-A04,2020/05/09 00:00:00,13
A35-A59,2020/10/09 00:00:00,1913
A60-A79,2021/07/12 00:00:00,40
A05-A14,2020/05/27 00:00:00,35
A15-A34,2021/04/26 00:00:00,3781
A80+,2021/01/10 00:00:00,908
A80+,2022/04/11 00:00:00,4446
A00-A04,2020/10/22 00:00:00,262
A00-A04,2020/08/01 00:00:00,17
A00-A04,2022/03/20 00:00:00,3168
A15-A34,2021/08/26 00:00:00,4612
A15-A34,2020/04/18 00:00:00,549
A80+,2020/05/20 00:00:00,52
A00-A04,2021/06/23 00:00:00,39
A05-A14,2021/05/07 00:00:00,1879
A05-A14,2021/02/24 00:00:00,696
A15-A34,2021/08/08 00:00:00,533
unbekannt,2022/07/07 00:00:00,1
A80+,2021/11/03 00:00:00,1390
A60-A79,2020/07/22 00:00:00,56
A80+,2021/04/21 00:00:00,666
A05-A14,2021/09/07 00:00:00,2998
A05-A14,2022/02/04 00:00:00,44601
unbekannt,2020/10/09 00:00:00,5
A15-A34,2021/01/15 00:00:00,4835
unbekannt,2022/03/25 00:00:00,396
unbekannt,2021/07/27 00:00:00,1
A35-A59,2020/08/16 00:00:00,182
A05-A14,2022/01/25 00:00:00,47201
A05-A14,2022/05/25 00:00:00,3093
A00-A04,2021/07/30 00:00:00,84
A15-A34,2021/11/08 00:00:00,6916
A15-A34,2022/04/16 00:00:00,16198
A05-A14,2020/12/27 00:00:00,433
A80+,2021/05/10 00:00:00,188
A35-A59,2021/04/24 00:00:00,6686
A80+,2020/11/14 00:00:00,1030
A35-A59,2021/08/24 00:00:00,4181
A80+,2021/05/29 00:00:00,79
A80+,2022/01/19 00:00:00,1834
A80+,2022/03/13 00:00:00,2348
unbekannt,2020/04/16 00:00:00,1
unbekannt,2021/10/27 00:00:00,9
A35-A59,2021/04/14 00:00:00,10887
A60-A79,2020/08/11 00:00:00,68
A00-A04,2020/04/01 00:00:00,56
A80+,2021/08/21 00:00:00,79
A60-A79,2022/03/20 00:00:00,10307
A00-A04,2021/09/08 00:00:00,728
A05-A14,2021/10/11 00:00:00,1294
unbekannt,2020/11/06 00:00:00,28
A15-A34,2020/08/18 00:00:00,732
A35-A59,2020/08/15 00:00:00,233
A15-A34,2021/12/14 00:00:00,15058
A35-A59,2022/06/27 00:00:00,20175
A60-A79,2020/06/15 00:00:00,28
A60-A79,2020/03/22 00:00:00,389
A80+,2020/11/13 00:00:00,1252
A80+,2021/09/10 00:00:00,239
A35-A59,2022/02/19 00:00:00,43811
A15-A34,2020/11/28 00:00:00,4079
unbekannt,2021/09/21 00:00:00,6
A00-A04,2022/04/28 00:00:00,2055
A15-A34,2020/06/22 00:00:00,137
A35-A59,2020/02/10 00:00:00,1
A60-A79,2020/04/11 00:00:00,448
A80+,2020/03/06 00:00:00,4
A35-A59,2020/05/23 00:00:00,114
A05-A14,2020/04/11 00:00:00,75
unbekannt,2021/11/06 00:00:00,5
A00-A04,2021/01/08 00:00:00,323
A00-A04,2021/12/08 00:00:00,2355
A80+,2020/05/01 00:00:00,121
A05-A14,2021/08/28 00:00:00,1623
A15-A34,2022/06/01 00:00:00,15339
A60-A79,2021/03/30 00:00:00,2776
A80+,2021/02/18 00:00:00,586
A60-A79,2020/10/04 00:00:00,119
A15-A34,2022/05/23 00:00:00,13761
A60-A79,2021/03/12 00:00:00,1598
A60-A79,2021/08/10 00:00:00,289
A35-A59,2021/02/10 00:00:00,4050
A05-A14,2021/03/03 00:00:00,893
A60-A79,2020/09/28 00:00:00,198
A60-A79,2020/10/31 00:00:00,1920
A05-A14,2022/01/15 00:00:00,10580
A35-A59,2022/05/02 00:00:00,34678
unbekannt,2020/08/06 00:00:00,1
A60-A79,2020/08/10 00:00:00,61
A00-A04,2021/07/31 00:00:00,87
A60-A79,2021/07/02 00:00:00,55
A00-A04,2020/10/04 00:00:00,28
unbekannt,2021/05/13 00:00:00,2
A05-A14,2021/12/08 00:00:00,13505
A60-A79,2020/07/31 00:00:00,70
unbekannt,2022/04/13 00:00:00,80
A15-A34,2020/05/06 00:00:00,328
A05-A14,2020/12/08 00:00:00,1319
A35-A59,2021/03/27 00:00:00,5972
A80+,2022/04/21 00:00:00,5603
A80+,2021/05/01 00:00:00,333
unbekannt,2021/03/18 00:00:00,11
A05-A14,2021/07/11 00:00:00,23
A00-A04,2020/08/29 00:00:00,28
A35-A59,2020/11/16 00:00:00,5477
A35-A59,2020/06/02 00:00:00,91
A05-A14,2022/01/07 00:00:00,6818
A00-A04,2020/04/11 00:00:00,38
A60-A79,2021/10/02 00:00:00,491
A00-A04,2021/07/11 00:00:00,5
unbekannt,2020/12/14 00:00:00,12
A00-A04,2020/10/12 00:00:00,93
A80+,2022/06/26 00:00:00,232
unbekannt,2021/03/17 00:00:00,7
A00-A04,2021/03/03 00:00:00,413
A60-A79,2021/03/22 00:00:00,1091
A00-A04,2021/03/30 00:00:00,746
A15-A34,2022/03/18 00:00:00,81147
A00-A04,2022/02/03 00:00:00,9307
A00-A04,2022/07/11 00:00:00,12
A15-A34,2021/05/06 00:00:00,5273
A35-A59,2020/04/07 00:00:00,2076
A15-A34,2021/09/14 00:00:00,4456
A80+,2022/01/18 00:00:00,1629
A15-A34,2022/06/21 00:00:00,17129
A60-A79,2022/03/10 00:00:00,25587
unbekannt,2021/12/21 00:00:00,16
A00-A04,2021/02/23 00:00:00,291
A15-A34,2022/06/30 00:00:00,12925
A00-A04,2021/10/12 00:00:00,383
A15-A34,2021/01/14 00:00:00,5368
A60-A79,2022/03/02 00:00:00,19788
unbekannt,2021/10/26 00:00:00,2
A80+,2020/05/21 00:00:00,40
A05-A14,2021/02/23 00:00:00,572
A35-A59,2021/02/19 00:00:00,3361
A80+,2022/07/05 00:00:00,281
A00-A04,2021/10/11 00:00:00,179
A00-A04,2022/05/16 00:00:00,1410
A05-A14,2021/07/31 00:00:00,220
