unbekannt,05,4
A80+,10,10626
A00-A04,06,553
unbekannt,03,21
A00-A04,01,1
A00-A04,07,672
A05-A14,11,31130
A15-A34,04,21236
A00-A04,03,509
A00-A04,09,1168
A00-A04,08,1032
A15-A34,05,5890
A80+,11,26368
A00-A04,04,869
unbekannt,04,18
A60-A79,12,4840
A60-A79,10,31792
A00-A04,02,5
A05-A14,10,15768
A60-A79,11,58599
A60-A79,07,1323
A80+,12,1658
A60-A79,05,2753
A15-A34,03,18795
A00-A04,05,510
A15-A34,01,5
unbekannt,07,11
A80+,07,402
A05-A14,12,2364
unbekannt,06,8
A80+,06,545
A60-A79,08,2077
A00-A04,11,8676
A80+,05,1810
A80+,03,3057
A35-A59,03,34717
A15-A34,08,15575
A35-A59,05,7141
A35-A59,08,11560
A35-A59,09,17046
A00-A04,12,638
A35-A59,06,4875
A35-A59,02,48
A35-A59,04,33130
unbekannt,10,730
A60-A79,02,11
unbekannt,11,1167
A60-A79,03,12802
A00-A04,10,5036
A05-A14,07,1371
A60-A79,06,1125
A60-A79,09,4524
A15-A34,10,89491
A80+,04,9893
A05-A14,02,3
A35-A59,12,15261
A15-A34,12,11157
A05-A14,08,3559
A35-A59,11,169046
A05-A14,03,1440
A80+,09,1209
A80+,08,493
A35-A59,01,9
A35-A59,07,5712
A15-A34,07,5523
unbekannt,08,42
A05-A14,04,1971
A05-A14,05,964
A15-A34,02,49
A15-A34,11,138406
A15-A34,06,4455
A60-A79,04,15488
A15-A34,09,21056
unbekannt,12,46
A35-A59,10,96361
A05-A14,06,1171
A05-A14,09,3829
unbekannt,09,69
